YouTube,Series,Date,Unique event name,Guests,Title or name of stream
https://www.youtube.com/live/m__QjVPk98Y,GuestStream,9/17/2024,GuestStream #088.1," Hunar Ahmad Abdulrahman",What is the Limit of Our Brains in Predicting Future Events?
https://www.youtube.com/live/Me3BitlU6Vs,ModelStream,9/13/2024,ModelStream #014.1,Ran Wei,Value of Information and Reward Specification in Active Inference and POMDPs
https://www.youtube.com/live/52eHP5ReG34,GuestStream,9/10/2024,GuestStream #087.2,John Boik,CogNarr Ecosystem: Preliminary Thoughts on a Story Graph Meaning Representation
https://www.youtube.com/live/ZfGRa_n4gB4,ArtStream,9/9/2024,ArtStream #003.1,Diana Omigie,A model of time-varying music engagement
https://www.youtube.com/live/yIS0OW2o18s,MathArtStream,9/6/2024,MathArtStream 8,"Shanna Dobson,Daniel Friedman","William Blake, Kierkegaard, Gothic"
https://www.youtube.com/live/0Cx5MTNxs-0,GuestStream,9/5/2024,GuestStream #087.1,John Boik,CogNarr Ecosystem: Facilitating Group Cognition at Scale
https://www.youtube.com/live/_OYKnrktAOU,Active InferAnt Stream,8/31/2024,Active InferAnt Stream #003.1,Daniel Friedman,"“Systems Within Systems” – William Blake, FOIA, Cognitive Sovereignty, and PyMDP social learning"
https://www.youtube.com/live/MUaKYWKs0kk,ModelStream,8/23/2024,ModelStream #013.1,Jacques Pienaar,Synthesizing the Born rule with reinforcement learning
https://www.youtube.com/live/pYJUgEqS42U,GuestStream,8/20/2024,GuestStream #086.1,"Moein Khajehnejad,Forough Habibollahi",Biological Neurons Compete with Deep Reinforcement Learning in Sample Efficiency in a Simulated Gameworld
https://www.youtube.com/live/I6sy9fMRcTs,Active InferAnt Stream,8/17/2024,Active InferAnt Stream #002.1,Daniel Friedman,Towards a More Structural InferAnts (P3IF and 3R)
https://www.youtube.com/live/dtw7RaxaFTo,MathArtStream,8/16/2024,MathArtStream 7,"Shanna Dobson,Héctor Manrique","Dementors, Animagus and Episodic Memory: an Active Inference exploration of Harry Potter and the Prisoner of Azkaban Part II"
https://www.youtube.com/live/IPiazKlNZ4g,MathStream,8/12/2024,MathStream #011.1,Toby St Clere Smithe,Structured Active Inference
https://www.youtube.com/live/UB-TIIlmwlU,GuestStream,8/5/2024,GuestStream #085.1,David Bloomin,[Deep] Learning Active Inference
https://www.youtube.com/live/6E4CpJvzddg,Active InferAnt Stream,8/5/2024,Active InferAnt Stream #001.1,Daniel Friedman,FieldSHIFT-2: Fully Synthetic Dissertations for All-by-All Shifted Domains
https://www.youtube.com/live/qDilepcGCNs,MathArtStream,8/2/2024,MathArtStream 6,"Shanna Dobson,Héctor Manrique","Dementors, Animagus and Episodic Memory: an Active Inference exploration of “Harry Potter and the Prisoner of Azkaban"
https://www.youtube.com/live/zqOcywx40n8,GuestStream,7/29/2024,GuestStream #082.4,Robert Worden,Assessment of the Brain Wave Hypothesis
https://www.youtube.com/live/MUcsN43HPoI,MathArtStream,7/26/2024,MathArtStream 5,"Jim Zhong,Shanna Dobson,Héctor Manrique,Estelle Perchaud",Visualizing the 4th Dimension II: Retinal Path and 5D
https://www.youtube.com/live/IvY4acL8YeA,GuestStream,7/22/2024,GuestStream #082.3,Robert Worden,The Projective Wave Theory of Consciousness
https://www.youtube.com/live/Wn65WcYGQSA,GuestStream,7/22/2024,GuestStream #084.1,"Raphael Milliere,Charles Rathkopf",Anthropocentric bias and the possibility of artificial cognition
https://www.youtube.com/live/s8MLTd_HzRc,GuestStream,7/18/2024,GuestStream #076.2,Anna Pereira,Active Inference Circle Book Project and Things Update
https://www.youtube.com/live/yknM6SFlPPc,GuestStream,7/17/2024,GuestStream #083.1,Joshua Bongard,Embodied intelligence
https://www.youtube.com/live/i9oij02oje0,MathArtStream,7/12/2024,MathArtStream 4,Kirby Urner,“Dimension” in Synergetics
https://www.youtube.com/live/UD-VfVJ41WA,ArtStream,7/8/2024,ArtStream #002.1,Aenne Brielmann,Modelling individual aesthetic judgements over time
https://www.youtube.com/live/1Xu8jYKWsGM,Insights,7/8/2024,Insights #024,Darius Parvizi-Wayne,Season Finale // Reflection
https://www.youtube.com/watch?v=VLP_jV_KRhc,Roundtable,6/28/2024,Roundtable 2024.2,,2024 Quarterly Roundtable #2
https://youtu.be/sKVZykutOD0,Insights,6/28/2024,Insights #023,Iain McGilchrist,"Hemispheric Lateralisation, Relationality, Being-In-The-World"
https://www.youtube.com/live/u0y-NFl8emU,ModelStream,6/27/2024,ModelStream #012.1,"Beth Fisher,Jakob Hohwy",An Active Inference Model of the Optimism Bias
https://www.youtube.com/live/Y9hP79tBXHo,ModelStream,6/26/2024,ModelStream #011.1,Hadi Vafaii,Poisson Variational Autoencoder
https://www.youtube.com/watch?v=qztkjHf2g3g,Livestream,6/4/2024,Livestream #057.2,Thomas Parr,Active Data Selection and Information Seeking
https://www.youtube.com/watch?v=gMPa_xoOctU,GuestStream,6/3/2024,GuestStream #082.2,Robert Worden,Three-dimensional Spatial Cognition: Bees and Bats
https://www.youtube.com/live/WnC3mZ1TAxk,MathArtStream,5/31/2024,MathArtStream 3,"Jim Zhong,Shanna Dobson",Categorical Mental Imagery: Visualizing the 4th Spatial Dimension
https://www.youtube.com/watch?v=Fc7bUNNdTfY,GuestStream,5/30/2024,GuestStream #084.1,Jesse Gardner,The Nature of Habits and Agential Systems
https://www.youtube.com/watch?v=N0ozoxTgWD0,Livestream,5/28/2024,Livestream #057.1,"Thomas Parr,Karl J Friston",Active Data Selection and Information Seeking
https://www.youtube.com/live/GoXtkxLGkjQ,Livestream,5/24/2024,Livestream #057.0,,Active Data Selection and Information Seeking
https://www.youtube.com/watch?v=XQKjFV-pCXQ,MathArtStream,5/24/2024,MathArtStream 2,"Shanna Dobson,Stephen Sillett,Dean Tickles","Towards Tractable Insights: Dynamics and Immersion in, out and between MathArt"
https://www.youtube.com/watch?v=9DNxiBDYLzg,MathArtStream,5/17/2024,MathArtStream 1,"Shanna Dobson,Héctor Manrique",Introducing MathArt Conversations
https://youtu.be/ygmAhA18mkQ,ModelStream,5/16/2024,ModelStream #010.2,Wouter Nuijten,RxEnvironments.jl
https://www.youtube.com/watch?v=15n6WN9jGrY,GuestStream,5/10/2024,GuestStream #083.1,"Simon Wardley ",Wardley Mapping
https://youtu.be/TvZcxUuosh0,Insights,5/2/2024,Insights #022,Krys Dolega,"Emperor’s New Markov Blankets, Attention, Dan Dennett"
https://www.youtube.com/watch?v=6gw6KEX10vo,GuestStream,4/29/2024,GuestStream #082.1,Robert Worden,Bayesian Model-Based Cognition: The Requirement Equation
https://www.youtube.com/watch?v=q_fAglCMvPw,ArtStream,4/26/2024,ArtStream #001.1,"Sander Van de Cruys,Jacopo Frascaroli",Order and change in art: towards an active inference account of aesthetic experience
https://youtu.be/IjWBAyJeCsc,Insights,4/25/2024,Insights #021,Thomas Metzinger,"Pure Awareness, Self-Models, Phenomenal Transparency"
https://www.youtube.com/watch?v=Q-_YCWfO0b0,GuestStream,4/24/2024,GuestStream #081.1,Hannah Biddell,"Arousal coherence, uncertainty, and well-being: an active inference account"
https://www.youtube.com/watch?v=viJt9sFqWdg,GuestStream,4/22/2024,GuestStream #080.1,Laura Desirée Di Paolo,Active Inference Goes to School. The Importance of Active Learning in the Age of Large Language Models
https://youtu.be/2hLeKUdOUrg,Insights,4/18/2024,Insights #020,Kathryn Nave,"Agency, Vision, Life "
https://youtu.be/nf57wi3qLjk,Insights,4/11/2024,Insights #019,Conor Heins,"Collective Behaviour, Enslaved Attention, Building Intelligence"
https://www.youtube.com/watch?v=KwFpamHzmUc,OrgStream,4/9/2024,OrgStream #008.1,Nathan Schneider,Governable Spaces: Democratic Design for Online Life
https://youtu.be/0sS-Qf60Uaw,"Parr, Pezzulo, Friston 2022 Textbook",4/8/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 10 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/HEGhyTjMJOo,"Parr, Pezzulo, Friston 2022 Textbook",4/8/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 5, part 2",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/sAwPXw-WNg4,Insights,4/4/2024,Insights #018,Sanjeev Namjoshi,"Education, Expectation-Maximisation, Evolution  "
https://www.youtube.com/watch?v=TZNXs5jP9hE,ModelStream,4/4/2024,ModelStream #010.1,"Bart van Erp,Albert Podusenko",Building a Drone with RxInfer.jl
https://www.youtube.com/watch?v=BcepTxAv_xI,GuestStream,4/3/2024,GuestStream #078.1,Juan Diego Bogotá,What could come before time? Intertwining affectivity and temporality at the basis of intentionality
https://www.youtube.com/watch?v=xgMW47d8H2k,GuestStream,4/3/2024,GuestStream #077.1,Gareth Lee Stubbs,"The Police Hunch: The Bayesian Brain, Active Inference, and the Free Energy Principle in Action"
https://www.youtube.com/watch?v=7AtInJ-q7Hk,GuestStream,4/3/2024,GuestStream #079.1,Ryota Kanai,Meta-representations as representations of processes
https://youtu.be/Ke0x0TrBROk,"Parr, Pezzulo, Friston 2022 Textbook",4/1/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 6, Chapter 5, part 1",,"Cohort 6 Textbook Group (full playlist for Cohort 6) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=Ln_g3qynnbA,Roundtable,3/29/2024,Roundtable 2024.1,,2024 Quarterly Roundtable #1
https://www.youtube.com/watch?v=3iY8ICcmd2E,MathStream,3/29/2024,MathStream #010.1,Thomas Varley,Generalized decomposition of multivariate information
https://youtu.be/gpUuttKJoDM,Insights,3/28/2024,Insights #017,Mark Solms,"Affect, Consciousness, Dreams"
https://www.youtube.com/watch?v=E6DZTYdQJik,GuestStream,3/27/2024,GuestStream #076.1,Anna Pereira,Wellness Science through the Lens of Active Inference
https://youtu.be/DgppOdct0JE,"Parr, Pezzulo, Friston 2022 Textbook",3/25/2024,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 9 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
