YouTube,Series,Date,Unique event name,Guests,Title or name of stream
https://youtu.be/yICyXcr2idI,"Parr, Pezzulo, Friston 2022 Textbook",11/14/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 10 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/D0eSAByd_Ak,"Parr, Pezzulo, Friston 2022 Textbook",11/14/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 4 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=BMrgdUnF2iI,Livestream,11/14/2023,Livestream #056.1,Alexander Ororbia,"Four papers on Neural coding, Predictive processing, and Cognitive modeling."
https://youtu.be/rOchZu64b3A,"Parr, Pezzulo, Friston 2022 Textbook",11/7/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 9 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/wFZSLtbhDLE,"Parr, Pezzulo, Friston 2022 Textbook",11/7/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 4 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=6Yr_g9j4kso,GuestStream,11/7/2023,GuestStream #063.1,Michał Piekarski,Incorporating (variational) free energy models into mechanisms: the case of predictive processing under the free energy principle
https://www.youtube.com/watch?v=KX62d4gvFAY,Livestream,11/2/2023,Livestream #056.0,,"Four papers on Neural coding, Predictive processing, and Cognitive modeling."
https://www.youtube.com/watch?v=cGW-ZAvybz8&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,11/1/2023,"Active Inference for the Social Sciences — Conclusion (Discussion) ",Avel Guénin-Carlut,Conclusion (Discussion) — Course home
https://www.youtube.com/watch?v=YNsUMgOQYpk,Livestream,11/1/2023,Livestream #055.1,Magnus T Koudahl,"Realising Synthetic Active Inference Agents, Part I: Epistemic Objectives and Graphical Specification Language

Realising Synthetic Active Inference Agents, Part II: Variational Message Updates"
https://youtu.be/5a8zJ25BLYU,"Parr, Pezzulo, Friston 2022 Textbook",10/31/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 9 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/hREkvTcNNRo,"Parr, Pezzulo, Friston 2022 Textbook",10/31/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 3 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=ciFMH8svne4,GuestStream,10/30/2023,GuestStream #062.1,Michael Carl,Deep temporal Models of the Translation Process
https://www.youtube.com/watch?v=dAolShffDWo&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,10/28/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Discussion 6,Ander Aguirre,Discussion 6 — Course information
https://www.youtube.com/watch?v=pJit1ONOYcM&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw,Active Inference for the Social Sciences,10/25/2023,"Active Inference for the Social Sciences — Social constraints (Discussion) ",Avel Guénin-Carlut,Social constraints (Discussion) — Course home
https://youtu.be/Gz0yDB6VOSI,"Parr, Pezzulo, Friston 2022 Textbook",10/24/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 8 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/v8DiGoR29z8,"Parr, Pezzulo, Friston 2022 Textbook",10/24/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 3 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=nuUWmwrz6cI,Livestream,10/24/2023,Livestream #055.0,,"Realising Synthetic Active Inference Agents, Part I: Epistemic Objectives and Graphical Specification Language

Realising Synthetic Active Inference Agents, Part II: Variational Message Updates"
https://www.youtube.com/watch?v=vh8Q6Bc-TQA,GuestStream,10/20/2023,GuestStream #061.1,Shagor Rahman,Myth of objectivity and the origin of symbols
https://www.youtube.com/watch?v=StyeVhPobXg&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,10/18/2023,Active Inference for the Social Sciences — Social constraints (Lecture),Avel Guénin-Carlut,Social constraints (Lecture) — Course home
https://www.youtube.com/watch?v=knhfxLxyeyQ,GuestStream,10/18/2023,GuestStream #059.1,David Tuckett,Conviction Narrative Theory: A theory of choice under radical uncertainty
https://www.youtube.com/watch?v=TubYmyvsynA,GuestStream,10/18/2023,GuestStream #060.1,Kristen Whittle,Reflections and implications of a naïve attitude to architecture
https://youtu.be/Z8hWG4Qf92w,"Parr, Pezzulo, Friston 2022 Textbook",10/17/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 8 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/snOZwtTgX3Q,"Parr, Pezzulo, Friston 2022 Textbook",10/17/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 2 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=bSPQ3BkqTh4&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,10/12/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Lecture 6,Chris Fields,Lecture 6 — Course information
https://youtu.be/gEL56jY7CY0,"Parr, Pezzulo, Friston 2022 Textbook",10/10/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 7 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/Wbl_xK_-ldM,"Parr, Pezzulo, Friston 2022 Textbook",10/10/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 2 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/1w2JUt-xHH4,"Parr, Pezzulo, Friston 2022 Textbook",10/3/2023,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 1 part 2",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=_NfqCpsZPeM&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,9/30/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Discussion 5,Ander Aguirre,Discussion 5 — Course information
https://www.youtube.com/watch?v=93-rNtJR-9I,Roundtable,9/29/2023,Roundtable 2023.3,,2023 Quarterly Roundtable #3
https://www.youtube.com/watch?v=MzYmdBaJIYc,MorphStream,9/26/2023,MorphStream #001.1,"David Kappel,Sarah Hamburg",
https://youtu.be/-j5JXt79H3w,"Parr, Pezzulo, Friston 2022 Textbook",9/26/2023,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 6 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/85HzeHfna08,"Parr, Pezzulo, Friston 2022 Textbook",9/26/2023,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5, Chapter 1 part 1",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=Qbmuu61dnWY&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,9/20/2023,"Active Inference for the Social Sciences — Norms, Scripts, Narratives, Languages (Lecture)",Mahault Albarracin,"Norms, Scripts, Narratives, Languages (Lecture) — Course home"
https://youtu.be/dlZk_iF9EqM,"Parr, Pezzulo, Friston 2022 Textbook",9/19/2023 12:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 6 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=Sz7ZP2N6DuE,GuestStream,9/19/2023,GuestStream #058.1,"Karl J Friston,Cheng-Ming Chuong,Andrew Schwartz",Working with Gerald Edelman
https://www.youtube.com/watch?v=kJUVdt-fN7U,MathStream,9/19/2023,MathStream #007.1,Vincent Wang-Mascianica,Constructor Theory as Process Theory
https://youtu.be/3CQmexsuF64,"Parr, Pezzulo, Friston 2022 Textbook",9/19/2023,"Parr, Pezzulo, Friston 2022 Textbook Cohort 5 Onboarding",,"Cohort 5 Textbook Group (full playlist for Cohort 5) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=1uIRljnLtc4,GuestStream,9/18/2023,GuestStream #057.1,Andy Keller,Natural Neural Structure in Artificial Neural Networks
https://www.youtube.com/watch?v=h0Tfm2lw6PQ,GuestStream,9/15/2023,GuestStream #056.1,Grégoire Sergeant,Agency with structured latent state-spaces: a model for computational phenomenology.
https://www.youtube.com/watch?v=Il9sBNAia7g&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7,Chris Fields ~ Physics As Information Processing ~ 2023,9/14/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Lecture 5,Chris Fields,Lecture 5 — Course information
https://www.youtube.com/watch?v=MrAiB9X7Ock&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,9/12/2023,Active Inference for the Social Sciences — Semiotics and Semantics (Discussion),Lorena Sganzerla,Semiotics and Semantics (Discussion) — Course home
https://www.youtube.com/watch?v=p1GMPGBJGfw,MathStream,9/1/2023,MathStream #006.1,Sean Tull,Active Inference in String Diagrams
https://www.youtube.com/watch?v=a4DC1YCVpsU,GuestStream,8/30/2023,GuestStream #055.1,"James Pang,Alex Fornito",Geometric constraints on human brain function
https://www.youtube.com/watch?v=4ijYLWm4P2I&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,8/30/2023,Active Inference for the Social Sciences — Semiotics and Semantics (Lecture),Lorena Sganzerla,Semiotics and Semantics (Lecture) — Course home
https://www.youtube.com/watch?v=jWEcQVcgleM&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,8/26/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Discussion 4,"Ander Aguirre,Chris Fields",Discussion 4 — Course information
https://www.youtube.com/watch?v=bhLPZaLmi2k,GuestStream,8/25/2023,GuestStream #054.1,"Andrés Gómez-Emilsson,Chris Percy",Electromagnetic Field Topology Consciousness
https://www.youtube.com/watch?v=_GHJO_bnyrY,GuestStream,8/23/2023,GuestStream #053.1,"Mark Solms,Alexey Tolchinsky,Andrea Clarici,Michael Levin,Bryn O’Reilly,Albert D’Hulst",A case for chaos theory inclusion in neuropsychoanalytic modeling
https://youtu.be/1Ooz_N1HJ58,"Parr, Pezzulo, Friston 2022 Textbook",8/22/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 5 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=PVeyvHSAwmk,Applied Active Inference Symposium,8/22/2023,Applied Active Inference Symposium — Enacting Ecosystems 2023,"Keith Duggar,Sanjeev Namjoshi,Inês Hipólito,Aswin Paul,Takuya Isomura,Shanna Dobson,Nynke Boiten,André Bastos","3rd Applied Active Inference Symposium “Enacting Ecosystems of Shared Intelligence”, part 2"
https://www.youtube.com/watch?v=rIemcswLfGg,Applied Active Inference Symposium,8/22/2023,Applied Active Inference Symposium — Enacting Ecosystems 2023,"JF Cloutier,Conor Heins,Bert de Vries,Dmitry Bagaev,Bart van Erp,Rafael Kaufmann,Avel Guénin-Carlut,Pablo Fernandez-Maquieira,Anna Lembke,Curt Jaimungal,Karl J Friston","3rd Applied Active Inference Symposium “Enacting Ecosystems of Shared Intelligence”, part 1"
https://youtube.com/watch?v=2IxxzY2ZDHA&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,8/16/2023,"Active Inference for the Social Sciences — Collective Behavior (Discussion) ",Daniel Friedman,Collective Behavior (Discussion) — Course home
https://youtu.be/q5nQWvYZDrE,"Parr, Pezzulo, Friston 2022 Textbook",8/15/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 5 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/0x3TIoZal9Q,"Parr, Pezzulo, Friston 2022 Textbook",8/15/2023,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 10",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=k55mAFCIQ60&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,8/10/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Lecture 4,Chris Fields,Lecture 4 — Course information
https://www.youtube.com/watch?v=KPeOC9eNDnA,GuestStream,8/10/2023,GuestStream #052.1,"Ahmed ElSaid,Travis Desell ",Backpropagation-Free 4D Continuous Ant-Based Neural Topology Search
https://youtu.be/nsi6IAmt4Zc,"Parr, Pezzulo, Friston 2022 Textbook",8/8/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 4 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/2UBBVXykuTMz,"Parr, Pezzulo, Friston 2022 Textbook",8/8/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 10",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=ran1M2UmD80&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw,Active Inference for the Social Sciences,8/2/2023,Active Inference for the Social Sciences — Collective Behavior (Lecture),Daniel Friedman,Collective Behavior (Lecture) — Course home
https://youtu.be/QBEOnqGqeRY,"Parr, Pezzulo, Friston 2022 Textbook",8/1/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 9",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/PKyPg32Lq9A,"Parr, Pezzulo, Friston 2022 Textbook",8/1/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 4 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=hOto96Q8sYQ&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,7/29/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Discussion 3,Ander Aguirre,Discussion 3 — Course information
https://www.youtube.com/watch?v=3_5pTCguAv4,BookStream,7/28/2023,BookStream #002.02,,"Parr, Pezzulo, Friston ~ Chapter 4, 5, 7, 8 overview"
https://www.youtube.com/watch?v=NOj0mB8I6BI,GuestStream,7/28/2023,GuestStream #051.1,Tommaso Salvatori,Causal Inference via Predictive Coding
https://www.youtube.com/watch?v=vBk0zZEy59E,GuestStream,7/27/2023,GuestStream #050.1,"Valeria Becattini,Anna Ciaunica","Selfless Minds, Unlimited Bodies? Homeostatic Bodily Self-Regulation in Meditative Experiences"
https://www.youtube.com/watch?v=dUXfgzKHV1c,GuestStream,7/26/2023,GuestStream #049.1,Megan Peters,"Clickbait, consciousness science, and responsible journalism"
https://youtu.be/BKgKVl_soZA,"Parr, Pezzulo, Friston 2022 Textbook",7/25/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 3 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/F-kYst2mxTQ,"Parr, Pezzulo, Friston 2022 Textbook",7/25/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 9",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=u6taX0npOY8&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,7/25/2023,Active Inference for the Social Sciences — Basics of ActInf (Discussion),Ben White,Basics of ActInf (Discussion) — Course home
https://www.youtube.com/watch?v=aFwuucck7a8,GuestStream,7/19/2023,GuestStream #048.1,"Adam Safron,Arthur Juliani",Deep CANALs: A Deep Learning Approach to Refining the Canalization Theory of Psychopathology
https://youtu.be/6w-2IBLM6KU,"Parr, Pezzulo, Friston 2022 Textbook",7/18/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 8",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/MIcDVLoElk8,"Parr, Pezzulo, Friston 2022 Textbook",7/18/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 3 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=QqEp4jtaQ2E,MathStream,7/17/2023,MathStream #005.1,Cristian Bodnar,"Topological Deep Learning: Graphs, Complexes, Sheaves"
https://www.youtube.com/watch?v=CEKWhxnH3-E,ModelStream,7/15/2023,ModelStream #009.1,Aswin Paul,On efficient computation in active inference
https://www.youtube.com/watch?v=TOZp_XNYijQ&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,7/13/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Lecture 3,Chris Fields,Lecture 3 — Course information
https://youtu.be/QdyHzs1Slec,"Parr, Pezzulo, Friston 2022 Textbook",7/11/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 2 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/4ZffpVN-Pe4,"Parr, Pezzulo, Friston 2022 Textbook",7/11/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 8",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=BNLnbOFdgc0&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw&,Active Inference for the Social Sciences,7/11/2023,Active Inference for the Social Sciences — Basics of ActInf (Lecture),Ben White,Basics of ActInf (Lecture) — Course home
https://www.youtube.com/watch?v=O6adLcDhOYU,GuestStream,7/10/2023,GuestStream #047.1,Samuel C. Bellini-Leite,The Predicting and Reflecting Framework for Dual Process Theory of Reasoning and Large Language Models.
https://www.youtube.com/watch?v=JkORFoyk8o8&list=PLNm0u2n1IwdoE8kkRwf1B6o4qhrbVcyFw,Active Inference for the Social Sciences,7/7/2023,Active Inference for the Social Sciences — Introduction Lecture,Avel Guénin-Carlut,Introduction (Lecture) — Course home
https://youtu.be/Q5G-5FgTCFQ,"Parr, Pezzulo, Friston 2022 Textbook",7/4/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 7",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/k7nySEbMQDI,"Parr, Pezzulo, Friston 2022 Textbook",7/4/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 2 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=hSj7eOYuZe4&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7&,Chris Fields ~ Physics As Information Processing ~ 2023,7/1/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Discussion 2,"Ander Aguirre,Chris Fields",Discussion 2 — Course information
https://www.youtube.com/watch?v=aJ9Py86ZFjU,Roundtable,6/30/2023,Roundtable 2023.2,,2023 Quarterly Roundtable #2
https://youtu.be/ceHICB7bm_c,"Parr, Pezzulo, Friston 2022 Textbook",6/27/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 1 part 2",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/ych0eX3C3YY,"Parr, Pezzulo, Friston 2022 Textbook",6/27/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 7",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=dUW8cD8XUec,GuestStream,6/23/2023,GuestStream #046.1,Denise Holt,Active Inference AI & the Spatial Web
https://youtu.be/5F8kbj05KHU,"Parr, Pezzulo, Friston 2022 Textbook",6/20/2023 10:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 6",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://youtu.be/F6-0JpsrzFA,"Parr, Pezzulo, Friston 2022 Textbook",6/20/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4, Chapter 1 part 1",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=y0Jyj6LAb8g,GuestStream,6/19/2023,GuestStream #045.1,"Maxwell J D Ramstead,Mahault Albarracin",The inner screen model of consciousness: applying the free energy principle directly to the study of conscious experience
https://www.youtube.com/watch?v=WkWIqpxWRM4&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7,Chris Fields ~ Physics As Information Processing ~ 2023,6/15/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Lecture 2,Chris Fields,Lecture 2 — Course information
https://www.youtube.com/watch?v=GfImcptiLsY,Livestream,6/15/2023,Livestream #054.2,Toby St Clere Smithe,Mathematical Foundations for a Compositional Account of the Bayesian Brain
https://youtu.be/wI9O5B2m3xM,"Parr, Pezzulo, Friston 2022 Textbook",6/13/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 3, Chapter 6",,"Cohort 3 Textbook Group (full playlist for Cohort 3) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=FymR0rKdLZo,GuestStream,6/13/2023,GuestStream #044.1,"Naotsugu Tsuchiya,Hayato Saigo",Using category theory to assess the relationship between consciousness and integrated information theory
https://www.youtube.com/watch?v=fzFDvJhrn0U,Livestream,6/7/2023,Livestream #054.1,Toby St Clere Smithe,Mathematical Foundations for a Compositional Account of the Bayesian Brain
https://youtu.be/3U8AXcIaUFI,"Parr, Pezzulo, Friston 2022 Textbook",6/6/2023 1:00 PM,"Parr, Pezzulo, Friston 2022 Textbook Cohort 4 Onboarding",,"Cohort 4 Textbook Group (full playlist for Cohort 4) of “Active Inference The Free Energy Principle in Mind, Brain, and Behavior” (Parr, Pezzulo, Friston 2022)"
https://www.youtube.com/watch?v=rOoTkgLI1Z8&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7,Chris Fields ~ Physics As Information Processing ~ 2023,6/3/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Discussion 1,Ander Aguirre,Discussion 1 — Course information
https://www.youtube.com/watch?v=S-tFHIqtbSI,GuestStream,6/1/2023,GuestStream #015.3,Bobby Azarian,The Teleological Stance: The Free Energy Principle as a Basis for a Scientific Self-Help System
https://www.youtube.com/watch?v=HK9ZkbxieLY,Livestream,6/1/2023,Livestream #054.0,,Mathematical Foundations for a Compositional Account of the Bayesian Brain
https://www.youtube.com/watch?v=FV7pW4p60VI,BookStream,5/22/2023,BookStream #002.01,,"Parr, Pezzulo, Friston 2022 ~ Chapter 1, 2, 3, 6 overview"
https://www.youtube.com/watch?v=RpOrRw4EhTo&list=PLNm0u2n1Iwdq0UnnnnkUr446lUz00x6E7,Chris Fields ~ Physics As Information Processing ~ 2023,5/18/2023,Chris Fields ~ Physics As Information Processing ~ 2023 Lecture 1,Chris Fields,Lecture 1 — Course information
https://www.youtube.com/watch?v=ChO1u1mJRGE,GuestStream,5/11/2023,GuestStream #043.1,Tom Froese,Irruption Theory: A Novel Conceptualization of the Enactive Account of Motivated Activity
https://www.youtube.com/watch?v=6bZYptbETAw,GuestStream,5/10/2023,GuestStream #042.1,"Juan Diego Bogotá,Zakaria Djebbara",Time-consciousness in computational phenomenology: a temporal analysis of active inference
